#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	H_SAPIENS_ORTHOLOGS	LOCATION_ARM	M_MUSCULUS_ORTHOLOGS	NAME	SPECIES_ABBREVIATION	SYMBOL
FBgn0034579	FBgn0034579	CG9353	Hsap\MRPL54	2R	Mmus\Mrpl54	mitochondrial ribosomal protein L54	Dmel	mRpL54
FBgn0038678	FBgn0038678	CG14283	Hsap\MRPL55	3R	Mmus\Mrpl55	mitochondrial ribosomal protein L55	Dmel	mRpL55
FBgn0038319	FBgn0038319	CG31478	Hsap\MRPL9	3R	Mmus\Mrpl9	mitochondrial ribosomal protein L9	Dmel	mRpL9
FBgn0039555	FBgn0039555	CG12261	Hsap\MRPS22	3R	Mmus\Mrps22	mitochondrial ribosomal protein S22	Dmel	mRpS22
FBgn0038474	FBgn0038474	CG5184	Hsap\MRPS11 <newline> Hsap\RPS14	3R	Mmus\Mrps11 <newline> Mmus\Rps14	mitochondrial ribosomal protein S11	Dmel	mRpS11
FBgn0033907	FBgn0033907	CG8338	Hsap\MRPS16	2R	Mmus\Mrps16	mitochondrial ribosomal protein S16	Dmel	mRpS16
FBgn0038307	FBgn0038307	CG4247	Hsap\MRPS10 <newline> Hsap\RPS20	3R	Mmus\Mrps10 <newline> Mmus\Rps20	mitochondrial ribosomal protein S10	Dmel	mRpS10
FBgn0038426	FBgn0038426	CG10406	Hsap\MRPS33	3R	Mmus\Mrps33	mitochondrial ribosomal protein S33	Dmel	mRpS33
FBgn0044511	FBgn0044511	CG32854	Hsap\MRPS21	3R	Mmus\Mrps21 <newline> Mmus\Gm5316 <newline> Mmus\Gm6686	mitochondrial ribosomal protein S21	Dmel	mRpS21
FBgn0051450	FBgn0051450	CG31450	Hsap\MRPS18A <newline> Hsap\MRPS18C	3R	Mmus\Mrps18a <newline> Mmus\Mrps18c	mitochondrial ribosomal protein S18A	Dmel	mRpS18A
FBgn0036774	FBgn0036774	CG7354	Hsap\MRPS26 <newline> Hsap\GNRH2	3L	Mmus\Mrps26	mitochondrial ribosomal protein S26	Dmel	mRpS26
FBgn0037529	FBgn0037529	CG2957	Hsap\MRPS9	3R	Mmus\Mrps9	mitochondrial ribosomal protein S9	Dmel	mRpS9
FBgn0044030	FBgn0044030	CG32531	Hsap\MRPS14 <newline> Hsap\RPS29	X	Mmus\Mrps14 <newline> Mmus\Rps29 <newline> Mmus\Gm10126	mitochondrial ribosomal protein S14	Dmel	mRpS14
FBgn0035374	FBgn0035374	CG2101	Hsap\MRPS35	3L	Mmus\Mrps35	mitochondrial ribosomal protein S35	Dmel	mRpS35
FBgn0039159	FBgn0039159	CG13608	Hsap\MRPS24	3R	Mmus\Mrps24	mitochondrial ribosomal protein S24	Dmel	mRpS24
FBgn0032849	FBgn0032849	CG10757	Hsap\MRPS18B <newline> Hsap\MRPS18A	2L	Mmus\Mrps18b <newline> Mmus\Mrps18a	mitochondrial ribosomal protein S18B	Dmel	mRpS18B
FBgn0036557	FBgn0036557	CG5904	Hsap\MRPS31	3L	Mmus\Mrps31	mitochondrial ribosomal protein S31	Dmel	mRpS31
FBgn0034727	FBgn0034727	CG3633	Hsap\DAP3	2R	Mmus\Dap3	mitochondrial ribosomal protein S29	Dmel	mRpS29
FBgn0032236	FBgn0032236	CG5108	Hsap\MRPS7	2L	Mmus\Mrps7 <newline> Mmus\Rps5	mitochondrial ribosomal protein S7	Dmel	mRpS7
FBgn0039765	FBgn0039765	CG9688	Hsap\MRPS18C <newline> Hsap\MRPS18A	3R	Mmus\Mrps18c <newline> Mmus\Mrps18a	mitochondrial ribosomal protein S18C	Dmel	mRpS18C
FBgn0030572	FBgn0030572	CG14413	Hsap\MRPS25	X	Mmus\Mrps25	mitochondrial ribosomal protein S25	Dmel	mRpS25
FBgn0031639	FBgn0031639	CG2937	Hsap\MRPS2 <newline> Hsap\RPSA <newline> Hsap\SMKR1	2L	Mmus\Mrps2 <newline> Mmus\Rpsa	mitochondrial ribosomal protein S2	Dmel	mRpS2
FBgn0034361	FBgn0034361	CG5497	Hsap\MRPS28	2R	Mmus\Mrps28	mitochondrial ribosomal protein S28	Dmel	mRpS28
FBgn0034986	FBgn0034986	CG4326	Hsap\MRPS17	2R	Mmus\Mrps17	mitochondrial ribosomal protein S17	Dmel	mRpS17
FBgn0003714	FBgn0003714	CG7925	Hsap\MRPS12 <newline> Hsap\RPS23	X	Mmus\Mrps12 <newline> Mmus\Rps23	technical knockout	Dmel	tko
FBgn0030692	FBgn0030692	CG8470	Hsap\MRPS30	X	Mmus\Mrps30	mitochondrial ribosomal protein S30	Dmel	mRpS30
FBgn0026261	FBgn0026261	CG4207	Hsap\MRPS15 <newline> Hsap\RPS13	2R	Mmus\Mrps15 <newline> Mmus\Rps13	bonsai	Dmel	bonsai
FBgn0035534	FBgn0035534	CG15016	Hsap\MRPS6	3L	Mmus\Mrps6	mitochondrial ribosomal protein S6	Dmel	mRpS6
FBgn0260407	FBgn0260407	CG31842	Hsap\MRPS23	2L	Mmus\Mrps23	mitochondrial ribosomal protein S23	Dmel	mRpS23
FBgn0285951	FBgn0285951	CG42648	Hsap\MRPS34	3L	Mmus\Mrps34	mitochondrial ribosomal protein S34	Dmel	mRpS34
FBgn0287187	FBgn0287187	CG40049	Hsap\MRPS5 <newline> Hsap\RPS2	3L	Mmus\Mrps5 <newline> Mmus\Rps2	mitochondrial ribosomal protein S5	Dmel	mRpS5
FBgn0039300	FBgn0039300	CG10423	Hsap\RPS27L <newline> Hsap\RPS27	3R	Mmus\Rps27l <newline> Mmus\Rps27 <newline> Mmus\Rps27rt	Ribosomal protein S27	Dmel	RpS27
FBgn0039129	FBgn0039129	CG5338	Hsap\RPS19	3R	Mmus\Rps19 <newline> Mmus\Rps19-ps6 <newline> Mmus\Rps19-ps4 <newline> Mmus\Rps19-ps13	Ribosomal protein S19b	Dmel	RpS19b
FBgn0010412	FBgn0010412	CG4464	Hsap\RPS19	X	Mmus\Rps19 <newline> Mmus\Rps19-ps6 <newline> Mmus\Rps19-ps4 <newline> Mmus\Rps19-ps13	Ribosomal protein S19a	Dmel	RpS19a
FBgn0003517	FBgn0003517	CG14792	Hsap\RPSA <newline> Hsap\MRPS2 <newline> Hsap\SMKR1 <newline> Hsap\RPSAP58	X	Mmus\Rpsa <newline> Mmus\Mrps2	stubarista	Dmel	sta
FBgn0034138	FBgn0034138	CG8332	Hsap\RPS15	2R	Mmus\Rps15	Ribosomal protein S15	Dmel	RpS15
FBgn0261592	FBgn0261592	CG10944	Hsap\RPS6	X	Mmus\Rps6 <newline> Mmus\Rps6-ps4 <newline> Mmus\LOC105244208	Ribosomal protein S6	Dmel	RpS6
FBgn0015521	FBgn0015521	CG2986	Hsap\RPS21	2L	Mmus\Rps21	Ribosomal protein S21	Dmel	RpS21
FBgn0005533	FBgn0005533	CG3922	Hsap\RPS17	3L	Mmus\Rps17 <newline> Mmus\Gm5215	Ribosomal protein S17	Dmel	RpS17
FBgn0085211	FBgn0085211	CG34182	Hsap\RPS28	2L	Mmus\Rps28	Ribosomal protein S28-like	Dmel	RpS28-like
FBgn0010411	FBgn0010411	CG8900	Hsap\RPS18	2R	Mmus\Gm10260 <newline> Mmus\Rps18 <newline> Mmus\Gm6987 <newline> Mmus\Gm11361 <newline> Mmus\Gm5321	Ribosomal protein S18	Dmel	RpS18
FBgn0019936	FBgn0019936	CG15693	Hsap\RPS20 <newline> Hsap\MRPS10	3R	Mmus\Rps20 <newline> Mmus\Mrps10	Ribosomal protein S20	Dmel	RpS20
FBgn0034743	FBgn0034743	CG4046	Hsap\RPS16 <newline> Hsap\MRPL4 <newline> Hsap\RPL4	2R	Mmus\Rps16 <newline> Mmus\Mrpl4 <newline> Mmus\Rpl4 <newline> Mmus\LOC100862433	Ribosomal protein S16	Dmel	RpS16
FBgn0011284	FBgn0011284	CG11276	Hsap\RPS4Y2 <newline> Hsap\RPS4X <newline> Hsap\RPS4Y1	3L	Mmus\Rps4x <newline> Mmus\Rps4l-ps <newline> Mmus\Gm15013	Ribosomal protein S4	Dmel	RpS4
FBgn0039713	FBgn0039713	CG7808	Hsap\RPS8 <newline> Hsap\NSA2	3R	Mmus\Rps8 <newline> Mmus\Nsa2 <newline> Mmus\Gm15501 <newline> Mmus\Gm11353	Ribosomal protein S8	Dmel	RpS8
FBgn0033699	FBgn0033699	CG8857	Hsap\RPS11	2R	Mmus\Rps11 <newline> Mmus\Rps11-ps4	Ribosomal protein S11	Dmel	RpS11
FBgn0010198	FBgn0010198	CG2033	Hsap\RPS15A	X	Mmus\Rps15a	Ribosomal protein S15Aa	Dmel	RpS15Aa
FBgn0002590	FBgn0002590	CG8922	Hsap\RPS5 <newline> Hsap\MRPS7	X	Mmus\Rps5 <newline> Mmus\Mrps7	Ribosomal protein S5a	Dmel	RpS5a
FBgn0039739	FBgn0039739	CG15527	Hsap\RPS28	3R	Mmus\Rps28	Ribosomal protein S28a	Dmel	RpS28a
FBgn0261596	FBgn0261596	CG3751	Hsap\RPS24	2R	Mmus\Rps24 <newline> Mmus\Gm4832	Ribosomal protein S24	Dmel	RpS24
FBgn0030136	FBgn0030136	CG2998	Hsap\RPS28	X	Mmus\Rps28	Ribosomal protein S28b	Dmel	RpS28b
FBgn0038834	FBgn0038834	CG15697	Hsap\FAU <newline> Hsap\LOC101927789	3R	Mmus\Fau <newline> Mmus\Gm9843	Ribosomal protein S30	Dmel	RpS30
FBgn0261597	FBgn0261597	CG10305	Hsap\RPS26 <newline> Hsap\RPS26P11 <newline> Hsap\RPS26P25 <newline> Hsap\LOC100996747	2L	Mmus\Rps26	Ribosomal protein S26	Dmel	RpS26
FBgn0027494	FBgn0027494	CG12275	Hsap\PLEC <newline> Hsap\RPS10-NUDT3 <newline> Hsap\RPS10 <newline> Hsap\RPS10P5	3R	Mmus\Plec <newline> Mmus\Rps10	Ribosomal protein S10a	Dmel	RpS10a
FBgn0010265	FBgn0010265	CG13389	Hsap\RPS13 <newline> Hsap\MRPS15	2L	Mmus\Rps13 <newline> Mmus\Mrps15 <newline> Mmus\Rps13-ps5	Ribosomal protein S13	Dmel	RpS13
FBgn0261599	FBgn0261599	CG8495	Hsap\RPS29 <newline> Hsap\MRPS14	3R	Mmus\Rps29 <newline> Mmus\Gm10126 <newline> Mmus\Mrps14 <newline> Mmus\Gm14303	Ribosomal protein S29	Dmel	RpS29
FBgn0003942	FBgn0003942	CG5271	Hsap\NEDD8 <newline> Hsap\OASL <newline> Hsap\RPS27A <newline> Hsap\UBB <newline> Hsap\UBL4B <newline> Hsap\ZFAND4 <newline> Hsap\UBQLN2 <newline> Hsap\UBQLN3 <newline> Hsap\RAD23B <newline> Hsap\UBQLN4 <newline> Hsap\UBL4A <newline> Hsap\UBQLN1 <newline> Hsap\UBD <newline> Hsap\ISG15 <newline> Hsap\UBQLNL <newline> Hsap\NEDD8-MDP1 <newline> Hsap\FAU <newline> Hsap\UBL7 <newline> Hsap\RAD23A <newline> Hsap\UBC <newline> Hsap\UBA52	2L	Mmus\Rad23a <newline> Mmus\Ubqln4 <newline> Mmus\Nedd8 <newline> Mmus\Ubb <newline> Mmus\Rad23b <newline> Mmus\Oasl1 <newline> Mmus\Oasl2 <newline> Mmus\Ubd <newline> Mmus\Oas1d <newline> Mmus\Ubqln1 <newline> Mmus\Ubqln3 <newline> Mmus\Ubqlnl <newline> Mmus\Ubqln2 <newline> Mmus\Oas1f <newline> Mmus\Ubqln5 <newline> Mmus\Oas1h <newline> Mmus\Oas1a <newline> Mmus\Isg15 <newline> Mmus\Oas1g <newline> Mmus\Oas1e <newline> Mmus\Rps27a <newline> Mmus\Ubl4b <newline> Mmus\Zfand4 <newline> Mmus\Oas1c <newline> Mmus\Ubc <newline> Mmus\Ubl4a <newline> Mmus\Ubl7 <newline> Mmus\Gm9843 <newline> Mmus\Fau <newline> Mmus\LOC100042019 <newline> Mmus\Uba52 <newline> Mmus\Gm4802 <newline> Mmus\Gm5239 <newline> Mmus\Gm8797	Ribosomal protein S27A	Dmel	RpS27A
FBgn0002622	FBgn0002622	CG6779	Hsap\GET1 <newline> Hsap\RPS3	3R	Mmus\Rps3 <newline> Mmus\Wrb	Ribosomal protein S3	Dmel	RpS3
FBgn0004867	FBgn0004867	CG5920	Hsap\RPS2 <newline> Hsap\MRPS5	2L	Mmus\Rps2 <newline> Mmus\Mrps5 <newline> Mmus\Gm8225 <newline> Mmus\Gm5921 <newline> Mmus\Gm6139 <newline> Mmus\Gm5978	Ribosomal protein S2	Dmel	RpS2
FBgn0004403	FBgn0004403	CG1524	Hsap\RPS14 <newline> Hsap\MRPS11	X	Mmus\Rps14 <newline> Mmus\Mrps11	Ribosomal protein S14a	Dmel	RpS14a
FBgn0038277	FBgn0038277	CG7014	Hsap\RPS5 <newline> Hsap\MRPS7	3R	Mmus\Rps5 <newline> Mmus\Mrps7	Ribosomal protein S5b	Dmel	RpS5b
FBgn0033912	FBgn0033912	CG8415	Hsap\RPS23 <newline> Hsap\MRPS12	2R	Mmus\Rps23 <newline> Mmus\Mrps12 <newline> Mmus\Rps23-ps1 <newline> Mmus\Gm8618 <newline> Mmus\Gm9372	Ribosomal protein S23	Dmel	RpS23
FBgn0086472	FBgn0086472	CG6684	Hsap\RPS25	3R	Mmus\Rps25 <newline> Mmus\Gm4963	Ribosomal protein S25	Dmel	RpS25
FBgn0004404	FBgn0004404	CG1527	Hsap\RPS14 <newline> Hsap\MRPS11	X	Mmus\Rps14 <newline> Mmus\Mrps11 <newline> Mmus\Gm5805	Ribosomal protein S14b	Dmel	RpS14b
FBgn0017545	FBgn0017545	CG2168	Hsap\RPS3A	4	Mmus\Rps3a1 <newline> Mmus\Rps3a2 <newline> Mmus\Rps3a3	Ribosomal protein S3A	Dmel	RpS3A
FBgn0039757	FBgn0039757	CG1883	Hsap\RPS7	3R	Mmus\Rps7 <newline> Mmus\Gm6472 <newline> Mmus\LOC102638448 <newline> Mmus\Gm9493	Ribosomal protein S7	Dmel	RpS7
FBgn0010408	FBgn0010408	CG3395	Hsap\RPS9 <newline> Hsap\IMP3	3L	Mmus\Rps9 <newline> Mmus\Imp3	Ribosomal protein S9	Dmel	RpS9
FBgn0033555	FBgn0033555	CG12324	Hsap\RPS15A	2R	Mmus\Rps15a	Ribosomal protein S15Ab	Dmel	RpS15Ab
FBgn0285947	FBgn0285947	CG14206	Hsap\PLEC <newline> Hsap\RPS10-NUDT3 <newline> Hsap\RPS10 <newline> Hsap\RPS10P5	X	Mmus\Plec <newline> Mmus\Rps10	Ribosomal protein S10b	Dmel	RpS10b
FBgn0286213	FBgn0286213	CG11271	Hsap\RPS12 <newline> Hsap\NHP2 <newline> Hsap\RPL7A <newline> Hsap\SNU13 <newline> Hsap\DOCK4 <newline> Hsap\RPP38 <newline> Hsap\RSRC1	3L	Mmus\Rps12 <newline> Mmus\Dock4 <newline> Mmus\Rpp38 <newline> Mmus\Rsrc1 <newline> Mmus\Snu13 <newline> Mmus\Rpl7a <newline> Mmus\Nhp2 <newline> Mmus\Gm5616 <newline> Mmus\Rps12-ps10 <newline> Mmus\Rps12-ps9 <newline> Mmus\Gm4925 <newline> Mmus\Rps12-ps24	Ribosomal protein S12	Dmel	RpS12
FBgn0020618	FBgn0020618	CG7111	Hsap\RACK1 <newline> Hsap\WDR31 <newline> Hsap\WSB2 <newline> Hsap\WSB1	2L	Mmus\Rack1 <newline> Mmus\Wdr31 <newline> Mmus\Wsb1	Receptor of activated protein kinase C 1	Dmel	Rack1
