#SUBMITTED ID	H_SAPIENS_ORTHOLOGS
FBgn0001281	Hsap\PHPT1
FBgn0259938	Hsap\HES5 <newline> Hsap\HEY2 <newline> Hsap\HES7 <newline> Hsap\HES3 <newline> Hsap\HEY1 <newline> Hsap\HES1 <newline> Hsap\HEYL <newline> Hsap\BHLHE40 <newline> Hsap\HELT <newline> Hsap\BHLHE41 <newline> Hsap\HES6 <newline> Hsap\HES2 <newline> Hsap\HES4
FBgn0259977	Hsap\CSAD <newline> Hsap\HDC <newline> Hsap\GADL1 <newline> Hsap\GAD1 <newline> Hsap\SGPL1 <newline> Hsap\GAD2 <newline> Hsap\SEPSECS <newline> Hsap\DDC
FBgn0260934	Hsap\MARK4 <newline> Hsap\SIK1 <newline> Hsap\SIK2 <newline> Hsap\SIK3 <newline> Hsap\MARK2 <newline> Hsap\MARK3 <newline> Hsap\SIK1B <newline> Hsap\MARK1 <newline> Hsap\BRSK2 <newline> Hsap\BRSK1 <newline> Hsap\CHEK1 <newline> Hsap\MAP3K2
FBgn0260959	Hsap\MCPH1 <newline> Hsap\BARD1 <newline> Hsap\BRCA1
FBgn0261046	Hsap\IGLON5 <newline> Hsap\USH2A <newline> Hsap\DSCAML1 <newline> Hsap\OPCML <newline> Hsap\PAPLN <newline> Hsap\NEGR1 <newline> Hsap\KIRREL1 <newline> Hsap\KIRREL2 <newline> Hsap\IGSF9 <newline> Hsap\LRIT1 <newline> Hsap\SDK2 <newline> Hsap\DSCAM <newline> Hsap\NCAM2 <newline> Hsap\SDK1 <newline> Hsap\NTM <newline> Hsap\LSAMP <newline> Hsap\KIRREL3 <newline> Hsap\IGSF9B <newline> Hsap\LRIT3 <newline> Hsap\NCAM1 <newline> Hsap\PTPRQ <newline> Hsap\LIFR <newline> Hsap\MDGA1 <newline> Hsap\CNTN2 <newline> Hsap\CNTN6 <newline> Hsap\CNTN4 <newline> Hsap\MYPN <newline> Hsap\PALLD <newline> Hsap\HSPG2 <newline> Hsap\PSG1 <newline> Hsap\CEACAM1 <newline> Hsap\CEACAM16 <newline> Hsap\PSG4 <newline> Hsap\PSG9
FBgn0261049	Hsap\VPS45 <newline> Hsap\VPS33A <newline> Hsap\VPS33B <newline> Hsap\STXBP3 <newline> Hsap\STXBP1 <newline> Hsap\SCFD1 <newline> Hsap\STXBP2
FBgn0261259	
FBgn0261279	Hsap\CLINT1 <newline> Hsap\TELO2 <newline> Hsap\EPN2 <newline> Hsap\EPN1
FBgn0261394	Hsap\PSMA4 <newline> Hsap\PSMA3 <newline> Hsap\PSMB7 <newline> Hsap\PSMA6 <newline> Hsap\PSMB1 <newline> Hsap\PSMA5 <newline> Hsap\PSMA8 <newline> Hsap\PSMB10 <newline> Hsap\PSMB5 <newline> Hsap\PSMA7 <newline> Hsap\PSMB2 <newline> Hsap\PSMB8 <newline> Hsap\PSMB11 <newline> Hsap\PSMA1 <newline> Hsap\PSMB3 <newline> Hsap\PSMA2
FBgn0261532	Hsap\IPO13
FBgn0261546	
FBgn0261549	Hsap\DGKH <newline> Hsap\DGKE <newline> Hsap\DGKK <newline> Hsap\DGKB <newline> Hsap\ETV5 <newline> Hsap\DGKI <newline> Hsap\DGKZ <newline> Hsap\DGKA <newline> Hsap\DGKD
FBgn0261550	Hsap\OSBPL5 <newline> Hsap\OSBPL8 <newline> Hsap\OSBPL11 <newline> Hsap\OSBPL10 <newline> Hsap\OSBPL9 <newline> Hsap\PAGE4
FBgn0261565	Hsap\RP1 <newline> Hsap\IBSP <newline> Hsap\LEO1 <newline> Hsap\DMP1 <newline> Hsap\MUCL3 <newline> Hsap\FHL2 <newline> Hsap\DDRGK1
FBgn0261613	
FBgn0261688	
FBgn0261794	Hsap\SLC12A7 <newline> Hsap\SLC12A1 <newline> Hsap\SLC12A6 <newline> Hsap\SLC12A3 <newline> Hsap\SLC12A2 <newline> Hsap\SLC12A5 <newline> Hsap\SLC12A4 <newline> Hsap\SLC7A2 <newline> Hsap\SLC7A9 <newline> Hsap\SLC7A14 <newline> Hsap\SLC7A10 <newline> Hsap\SLC7A5 <newline> Hsap\SLC12A9 <newline> Hsap\SLC7A11 <newline> Hsap\SLC7A13 <newline> Hsap\SLC7A8 <newline> Hsap\SLC7A3 <newline> Hsap\SLC7A1 <newline> Hsap\SLC7A4 <newline> Hsap\SLC12A8 <newline> Hsap\SLC7A7 <newline> Hsap\SLC7A6
FBgn0261797	Hsap\DYNC1H1 <newline> Hsap\DNHD1 <newline> Hsap\DNAH3 <newline> Hsap\DNAH9 <newline> Hsap\DNAH5 <newline> Hsap\DNAH7 <newline> Hsap\DNAH12 <newline> Hsap\DNAH8 <newline> Hsap\DNAH6 <newline> Hsap\DNAH17 <newline> Hsap\DYNC2H1 <newline> Hsap\DNAH10 <newline> Hsap\DNAH1 <newline> Hsap\DNAH2 <newline> Hsap\DNAH11 <newline> Hsap\DNAH14
FBgn0261922	
FBgn0000042	Hsap\ACTB <newline> Hsap\ACTG1 <newline> Hsap\ACTL6B <newline> Hsap\ACTR3C <newline> Hsap\ACTR10 <newline> Hsap\ACTR3B <newline> Hsap\ACTR3 <newline> Hsap\ACTR1B <newline> Hsap\ACTC1 <newline> Hsap\POTED <newline> Hsap\ACTL9 <newline> Hsap\ACTL10 <newline> Hsap\ACTRT3 <newline> Hsap\ACTL7A <newline> Hsap\ACTR8 <newline> Hsap\POTEH <newline> Hsap\POTEF <newline> Hsap\POTEC <newline> Hsap\ACTA1 <newline> Hsap\ACTR1A <newline> Hsap\ACTRT1 <newline> Hsap\ACTL7B <newline> Hsap\ACTL8 <newline> Hsap\ACTR2 <newline> Hsap\ACTRT2 <newline> Hsap\ACTG2 <newline> Hsap\POTEJ <newline> Hsap\POTEI <newline> Hsap\ACTL6A <newline> Hsap\ACTA2 <newline> Hsap\ACTBL2 <newline> Hsap\POTEE <newline> Hsap\POTEG <newline> Hsap\POTEB2 <newline> Hsap\POTEB <newline> Hsap\LOC102723502 <newline> Hsap\LOC100288966 <newline> Hsap\POTEB3 <newline> Hsap\APOC3 <newline> Hsap\ATP10A <newline> Hsap\BACE1 <newline> Hsap\ACTR6 <newline> Hsap\POTEA
FBgn0000046	Hsap\ACTRT2 <newline> Hsap\ACTL6B <newline> Hsap\ACTR3C <newline> Hsap\ACTR10 <newline> Hsap\ACTR3B <newline> Hsap\ACTR3 <newline> Hsap\ACTR1B <newline> Hsap\ACTC1 <newline> Hsap\POTED <newline> Hsap\ACTL9 <newline> Hsap\ACTL10 <newline> Hsap\ACTRT3 <newline> Hsap\ACTL7A <newline> Hsap\ACTR8 <newline> Hsap\POTEH <newline> Hsap\ACTB <newline> Hsap\POTEF <newline> Hsap\POTEC <newline> Hsap\ACTA1 <newline> Hsap\ACTR1A <newline> Hsap\ACTRT1 <newline> Hsap\ACTL7B <newline> Hsap\ACTL8 <newline> Hsap\ACTR2 <newline> Hsap\ACTG2 <newline> Hsap\POTEJ <newline> Hsap\POTEI <newline> Hsap\ACTL6A <newline> Hsap\ACTA2 <newline> Hsap\ACTBL2 <newline> Hsap\POTEE <newline> Hsap\POTEG <newline> Hsap\POTEB2 <newline> Hsap\POTEB <newline> Hsap\LOC102723502 <newline> Hsap\LOC100288966 <newline> Hsap\POTEB3 <newline> Hsap\ACTG1 <newline> Hsap\APOC3 <newline> Hsap\ATP10A <newline> Hsap\BACE1 <newline> Hsap\ACTR6 <newline> Hsap\POTEA
FBgn0003416	Hsap\PLCG1 <newline> Hsap\PLCB2 <newline> Hsap\PLCZ1 <newline> Hsap\PLCB1 <newline> Hsap\PLCH1 <newline> Hsap\PLCE1 <newline> Hsap\PLCH2 <newline> Hsap\PLCB4 <newline> Hsap\PLCD4 <newline> Hsap\PLCL1 <newline> Hsap\PLCD1 <newline> Hsap\PLCB3 <newline> Hsap\PLCL2 <newline> Hsap\PLCD3 <newline> Hsap\PLCG2
FBgn0004047	Hsap\PNLIPRP3 <newline> Hsap\PNLIPRP1 <newline> Hsap\LIPI <newline> Hsap\PNLIP <newline> Hsap\PLA1A <newline> Hsap\LIPH <newline> Hsap\LIPC
FBgn0010100	Hsap\ACO2 <newline> Hsap\IREB2 <newline> Hsap\ACO1 <newline> Hsap\CFTR
FBgn0010213	Hsap\SOD2-OT1 <newline> Hsap\SOD2
FBgn0010217	Hsap\KDM6B <newline> Hsap\ATP5F1B <newline> Hsap\JARID2 <newline> Hsap\KDM5B <newline> Hsap\KDM5C <newline> Hsap\KDM6A <newline> Hsap\KDM5A <newline> Hsap\ATP5PB
FBgn0010355	Hsap\TAF1 <newline> Hsap\TAF1L <newline> Hsap\CECR2
FBgn0011230	Hsap\UBR4 <newline> Hsap\UBR5
FBgn0011771	Hsap\NCKAP1L <newline> Hsap\NCKAP1 <newline> Hsap\HRAS
FBgn0011829	Hsap\RET <newline> Hsap\STYK1 <newline> Hsap\FLT3 <newline> Hsap\PDGFRA <newline> Hsap\PDGFRB <newline> Hsap\FLT4 <newline> Hsap\KDR <newline> Hsap\FLT1 <newline> Hsap\CSF1R <newline> Hsap\KIT <newline> Hsap\FGFR4 <newline> Hsap\FGFR3 <newline> Hsap\TIE1 <newline> Hsap\TEK <newline> Hsap\FGFRL1 <newline> Hsap\FGFR1 <newline> Hsap\FGFR2 <newline> Hsap\PDGFRL
FBgn0013733	Hsap\NEFM <newline> Hsap\VWF <newline> Hsap\CRIM1 <newline> Hsap\BMPER <newline> Hsap\FRAS1 <newline> Hsap\VWCE <newline> Hsap\NDP <newline> Hsap\VIT <newline> Hsap\TECTA <newline> Hsap\COCH <newline> Hsap\OTOG <newline> Hsap\OTOGL <newline> Hsap\MUC6 <newline> Hsap\MUC5B <newline> Hsap\KCP <newline> Hsap\ZAN <newline> Hsap\FCGBP <newline> Hsap\MUC5AC <newline> Hsap\CLMN <newline> Hsap\EVPL <newline> Hsap\DST <newline> Hsap\PLEC <newline> Hsap\PPL <newline> Hsap\SYNE2 <newline> Hsap\MACF1 <newline> Hsap\SYNE1 <newline> Hsap\DSP <newline> Hsap\EVPLL <newline> Hsap\GAS2 <newline> Hsap\GAS2L3 <newline> Hsap\GAS2L2 <newline> Hsap\GAS2L1 <newline> Hsap\EPPK1
FBgn0013988	
FBgn0014007	Hsap\PTPRE <newline> Hsap\PTPRU <newline> Hsap\PTPRS <newline> Hsap\PTPRF <newline> Hsap\PTPRK <newline> Hsap\PTPRT <newline> Hsap\PTPRA <newline> Hsap\PTPRD <newline> Hsap\PTPRC <newline> Hsap\PTPRM <newline> Hsap\PTPRQ
FBgn0014141	Hsap\FLNC <newline> Hsap\FLNA <newline> Hsap\FLNB <newline> Hsap\CEP290
FBgn0015615	Hsap\CCDC122 <newline> Hsap\CKAP4 <newline> Hsap\CCDC157 <newline> Hsap\SMC3 <newline> Hsap\SMC1B <newline> Hsap\SMC2 <newline> Hsap\SMC1A <newline> Hsap\SMC4 <newline> Hsap\SMC5 <newline> Hsap\SMC6
FBgn0020503	Hsap\CLIP1 <newline> Hsap\CLIP2 <newline> Hsap\CLIP4 <newline> Hsap\CLIP3 <newline> Hsap\DCTN1 <newline> Hsap\CEP350 <newline> Hsap\NBPF1 <newline> Hsap\NBPF15 <newline> Hsap\NBPF9 <newline> Hsap\NBPF6 <newline> Hsap\NBPF8 <newline> Hsap\NBPF3 <newline> Hsap\NBPF20 <newline> Hsap\NBPF14 <newline> Hsap\NBPF11 <newline> Hsap\DRP2 <newline> Hsap\CCDC27 <newline> Hsap\MMRN2
FBgn0021847	Hsap\TTC7B <newline> Hsap\TTC7A
FBgn0024277	Hsap\KIAA1755 <newline> Hsap\ARHGEF40 <newline> Hsap\PLEKHN1 <newline> Hsap\PLEKHG2 <newline> Hsap\PLEKHG4B <newline> Hsap\ARHGEF25 <newline> Hsap\PLEKHG4 <newline> Hsap\KALRN <newline> Hsap\MCF2L2 <newline> Hsap\TRIO <newline> Hsap\CCDC141 <newline> Hsap\SESTD1 <newline> Hsap\MCF2 <newline> Hsap\MCF2L <newline> Hsap\NGEF <newline> Hsap\ARHGEF3 <newline> Hsap\ARHGEF1 <newline> Hsap\NET1 <newline> Hsap\ARHGEF15 <newline> Hsap\ARHGEF16
FBgn0025641	Hsap\DAAM1 <newline> Hsap\FMN2 <newline> Hsap\FMNL1 <newline> Hsap\INF2 <newline> Hsap\DAAM2 <newline> Hsap\GRID2IP <newline> Hsap\FHDC1 <newline> Hsap\FMN1 <newline> Hsap\DIAPH1 <newline> Hsap\DIAPH3 <newline> Hsap\DIAPH2 <newline> Hsap\FMNL2 <newline> Hsap\FMNL3
FBgn0026059	Hsap\MYO18A <newline> Hsap\USH1C <newline> Hsap\PDZD11 <newline> Hsap\SYNJ2BP <newline> Hsap\SLC9A3R1 <newline> Hsap\LNX1 <newline> Hsap\CYTIP <newline> Hsap\GRASP <newline> Hsap\IL16 <newline> Hsap\LNX2 <newline> Hsap\PDZD3 <newline> Hsap\PARD3B <newline> Hsap\WHRN <newline> Hsap\GOPC <newline> Hsap\PATJ <newline> Hsap\DLG5 <newline> Hsap\FRMPD2 <newline> Hsap\PARD3 <newline> Hsap\GRIP1 <newline> Hsap\PDZK1 <newline> Hsap\GRID2IP <newline> Hsap\PDZD2 <newline> Hsap\SLC9A3R2 <newline> Hsap\MPDZ <newline> Hsap\PDZD7 <newline> Hsap\SYNJ2BP-COX16 <newline> Hsap\MYH9 <newline> Hsap\MYH1 <newline> Hsap\MYH2 <newline> Hsap\MYH4 <newline> Hsap\MYH7B <newline> Hsap\MYH15 <newline> Hsap\MYO18B <newline> Hsap\MYH7 <newline> Hsap\MYH10 <newline> Hsap\MYH11 <newline> Hsap\MYH8 <newline> Hsap\MYH6 <newline> Hsap\MYO16 <newline> Hsap\MYH3 <newline> Hsap\MYH14 <newline> Hsap\TIAF1
FBgn0026427	Hsap\RP1 <newline> Hsap\IBSP <newline> Hsap\LEO1 <newline> Hsap\DMP1 <newline> Hsap\MUCL3 <newline> Hsap\RIF1 <newline> Hsap\MUC12
FBgn0027560	-
FBgn0027585	-
FBgn0028997	Hsap\NME7 <newline> Hsap\NME8 <newline> Hsap\NME3 <newline> Hsap\NME4 <newline> Hsap\NME5 <newline> Hsap\NME1 <newline> Hsap\NME2 <newline> Hsap\NME6 <newline> Hsap\NME9
FBgn0029660	-
FBgn0029706	Hsap\DMGDH <newline> Hsap\AMT <newline> Hsap\PDPR <newline> Hsap\SARDH
FBgn0029966	Hsap\GRIK2 <newline> Hsap\GRIA4 <newline> Hsap\GRIA1 <newline> Hsap\GRIN2B <newline> Hsap\GRIK5 <newline> Hsap\GRID2 <newline> Hsap\GRIK4 <newline> Hsap\GRIK3 <newline> Hsap\GRIN3A <newline> Hsap\GRIA3 <newline> Hsap\GRIN3B <newline> Hsap\GRIN2A <newline> Hsap\GRID1 <newline> Hsap\GRIN2C <newline> Hsap\GRIN2D <newline> Hsap\GRIK1 <newline> Hsap\GRIA2
FBgn0030087	Hsap\PHKA2 <newline> Hsap\PHKA1 <newline> Hsap\PHKB
FBgn0031078	Hsap\NUP205
FBgn0001311	Hsap\HAS1 <newline> Hsap\HAS3 <newline> Hsap\HAS2
FBgn0001314	
FBgn0001315	
FBgn0002031	Hsap\PHB <newline> Hsap\STOM <newline> Hsap\STOML2 <newline> Hsap\NPHS2 <newline> Hsap\STOML3 <newline> Hsap\PHB2 <newline> Hsap\STOML1
FBgn0002865	-
FBgn0003062	Hsap\FBLL1 <newline> Hsap\FBL
FBgn0003600	
FBgn0003884	Hsap\TUBA3E <newline> Hsap\TUBA3C <newline> Hsap\TUBA3D <newline> Hsap\TUBB1 <newline> Hsap\TUBA4A <newline> Hsap\TUBG2 <newline> Hsap\TUBG1 <newline> Hsap\TUBB2B <newline> Hsap\TUBB4A <newline> Hsap\TUBA1A <newline> Hsap\TUBA1C <newline> Hsap\TUBB6 <newline> Hsap\TUBB3 <newline> Hsap\TUBD1 <newline> Hsap\TUBA8 <newline> Hsap\TUBA1B <newline> Hsap\TUBB <newline> Hsap\TUBB4B <newline> Hsap\TUBE1 <newline> Hsap\TUBB2A <newline> Hsap\TUBAL3 <newline> Hsap\TUBB8 <newline> Hsap\SYCP1 <newline> Hsap\EHHADH <newline> Hsap\TUBA4B
FBgn0011286	Hsap\ITPR3 <newline> Hsap\RYR2 <newline> Hsap\RYR3 <newline> Hsap\ITPR1 <newline> Hsap\ITPR2 <newline> Hsap\RYR1
FBgn0024510	Hsap\CDAN1
FBgn0027505	Hsap\RAB3GAP2
FBgn0028560	Hsap\SLC2A9 <newline> Hsap\SLC2A7 <newline> Hsap\SLC2A13 <newline> Hsap\SLC2A3 <newline> Hsap\SLC2A14 <newline> Hsap\SLC2A2 <newline> Hsap\SLC2A5 <newline> Hsap\SLC2A1 <newline> Hsap\SLC2A12 <newline> Hsap\SLC2A4 <newline> Hsap\MIF <newline> Hsap\SLC2A10 <newline> Hsap\SLC2A6 <newline> Hsap\SLC2A8 <newline> Hsap\YARS1 <newline> Hsap\SLC2A11
FBgn0031869	Hsap\SOGA1 <newline> Hsap\MTCL1 <newline> Hsap\SOGA3
FBgn0032136	Hsap\APOB <newline> Hsap\LOC400499
FBgn0032213	Hsap\TPSG1 <newline> Hsap\TPSAB1 <newline> Hsap\TPSB2 <newline> Hsap\TPSD1 <newline> Hsap\PRSS54 <newline> Hsap\PRSS45P <newline> Hsap\PRSS47 <newline> Hsap\PRSS29P <newline> Hsap\PRSS42P <newline> Hsap\PRSS21 <newline> Hsap\PRSS44P <newline> Hsap\PRSS48
FBgn0032388	Hsap\SART1 <newline> Hsap\RBM25
FBgn0032414	-
FBgn0032455	Hsap\PIH1D1 <newline> Hsap\PIH1D2 <newline> Hsap\DNAAF2
FBgn0033159	Hsap\IGLON5 <newline> Hsap\USH2A <newline> Hsap\DSCAML1 <newline> Hsap\OPCML <newline> Hsap\PAPLN <newline> Hsap\NEGR1 <newline> Hsap\KIRREL1 <newline> Hsap\KIRREL2 <newline> Hsap\IGSF9 <newline> Hsap\LRIT1 <newline> Hsap\SDK2 <newline> Hsap\DSCAM <newline> Hsap\NCAM2 <newline> Hsap\SDK1 <newline> Hsap\NTM <newline> Hsap\LSAMP <newline> Hsap\KIRREL3 <newline> Hsap\IGSF9B <newline> Hsap\LRIT3 <newline> Hsap\NCAM1 <newline> Hsap\PTPRQ <newline> Hsap\CNTN2 <newline> Hsap\CNTN6 <newline> Hsap\CNTN4 <newline> Hsap\MYPN <newline> Hsap\PALLD <newline> Hsap\IL31RA <newline> Hsap\LIFR <newline> Hsap\OSMR <newline> Hsap\HSPG2 <newline> Hsap\IL12RB2 <newline> Hsap\IL6ST <newline> Hsap\CSF3R <newline> Hsap\LEPR <newline> Hsap\PTPRM <newline> Hsap\PTPRK <newline> Hsap\TEK <newline> Hsap\PTPRU <newline> Hsap\PTPRT
FBgn0033669	Hsap\PSMF1
FBgn0033778	Hsap\SLC22A3 <newline> Hsap\SLC22A7 <newline> Hsap\SLC22A23 <newline> Hsap\SLC22A14 <newline> Hsap\SLC22A8 <newline> Hsap\SLC22A2 <newline> Hsap\SLC22A12 <newline> Hsap\SVOPL <newline> Hsap\SLC22A9 <newline> Hsap\SLC22A10 <newline> Hsap\SLC22A25 <newline> Hsap\SLC22A1 <newline> Hsap\SLC22A6 <newline> Hsap\SLC22A5 <newline> Hsap\SLC22A4 <newline> Hsap\SLC22A24 <newline> Hsap\SLC22A13 <newline> Hsap\SLC22A11 <newline> Hsap\SLC22A31 <newline> Hsap\SLC22A17 <newline> Hsap\SLC22A16 <newline> Hsap\SLC22A15 <newline> Hsap\SV2A <newline> Hsap\SV2B <newline> Hsap\SV2C <newline> Hsap\SVOP <newline> Hsap\THOP1 <newline> Hsap\NLN <newline> Hsap\SLC22A20P
FBgn0034380	Hsap\VPS51 <newline> Hsap\ITGA3
FBgn0034926	
FBgn0035171	Hsap\TMEM200C <newline> Hsap\TMEM200A <newline> Hsap\TMEM200B
FBgn0035197	-
FBgn0035202	
FBgn0035240	Hsap\OGDHL <newline> Hsap\OGDH <newline> Hsap\DHTKD1
FBgn0036663	-
FBgn0036747	Hsap\ABCA6 <newline> Hsap\ABCA8 <newline> Hsap\ABCA9 <newline> Hsap\ABCG2 <newline> Hsap\ABCG5 <newline> Hsap\ABCA7 <newline> Hsap\ABCA10 <newline> Hsap\ABCG8 <newline> Hsap\ABCA12 <newline> Hsap\ABCA3 <newline> Hsap\ABCA2 <newline> Hsap\ABCG1 <newline> Hsap\ABCA4 <newline> Hsap\ABCA1 <newline> Hsap\ABCA5 <newline> Hsap\ABCA13 <newline> Hsap\ABCG4 <newline> Hsap\FH <newline> Hsap\SERPINA1 <newline> Hsap\AMBP
FBgn0037239	Hsap\SFXN3 <newline> Hsap\SFXN1 <newline> Hsap\SFXN5 <newline> Hsap\SFXN4 <newline> Hsap\SFXN2
FBgn0037338	Hsap\DCLRE1A <newline> Hsap\CPSF3 <newline> Hsap\CPSF2 <newline> Hsap\DCLRE1B <newline> Hsap\DCLRE1C <newline> Hsap\INTS9 <newline> Hsap\INTS11
FBgn0037546	Hsap\GPR153 <newline> Hsap\CHRM3 <newline> Hsap\HRH1 <newline> Hsap\CHRM2 <newline> Hsap\CHRM4 <newline> Hsap\CHRM1 <newline> Hsap\CHRM5
FBgn0037607	Hsap\TKTL2 <newline> Hsap\TKTL1 <newline> Hsap\TKT
FBgn0037625	Hsap\ACTC1
FBgn0037808	
FBgn0037836	Hsap\NEFM <newline> Hsap\VWF <newline> Hsap\CRIM1 <newline> Hsap\BMPER <newline> Hsap\FRAS1 <newline> Hsap\VWCE <newline> Hsap\NDP <newline> Hsap\VIT <newline> Hsap\TECTA <newline> Hsap\COCH <newline> Hsap\OTOG <newline> Hsap\OTOGL <newline> Hsap\MUC6 <newline> Hsap\MUC5B <newline> Hsap\KCP <newline> Hsap\ZAN <newline> Hsap\FCGBP <newline> Hsap\MUC5AC <newline> Hsap\CDKN2AIP <newline> Hsap\ATF7IP <newline> Hsap\RTN4 <newline> Hsap\COBL <newline> Hsap\KIAA1211 <newline> Hsap\COBLL1 <newline> Hsap\RSF1 <newline> Hsap\RIF1 <newline> Hsap\RTN3
FBgn0037970	Hsap\SLC25A22 <newline> Hsap\SLC25A18 <newline> Hsap\SLC25A29 <newline> Hsap\SLC25A47
FBgn0038395	-
FBgn0038544	
FBgn0038578	Hsap\MED17
FBgn0038685	Hsap\DPY30
FBgn0038740	Hsap\ABCC6 <newline> Hsap\ABCC3 <newline> Hsap\ABCC4 <newline> Hsap\ABCC9 <newline> Hsap\ABCC10 <newline> Hsap\ABCC2 <newline> Hsap\ABCC8 <newline> Hsap\ABCC11 <newline> Hsap\ABCC1 <newline> Hsap\ABCC5 <newline> Hsap\CFTR <newline> Hsap\ABCC12 <newline> Hsap\ABCB11 <newline> Hsap\ABCB4 <newline> Hsap\ABCB8 <newline> Hsap\TAP1 <newline> Hsap\ABCB10 <newline> Hsap\TAP2 <newline> Hsap\ABCB5 <newline> Hsap\ARG1
FBgn0038797	Hsap\MRPL12 <newline> Hsap\SLC25A11 <newline> Hsap\UCP1 <newline> Hsap\UCP2 <newline> Hsap\UCP3 <newline> Hsap\SLC25A27 <newline> Hsap\SLC25A30 <newline> Hsap\SLC25A10 <newline> Hsap\SLC25A14
FBgn0038926	Hsap\TMEM181
FBgn0039152	Hsap\CEP250 <newline> Hsap\CROCC <newline> Hsap\CROCC2 <newline> Hsap\MYH16 <newline> Hsap\CROCCP3 <newline> Hsap\CROCCP2 <newline> Hsap\JMY <newline> Hsap\WHAMM
FBgn0039214	Hsap\USP28 <newline> Hsap\USP18 <newline> Hsap\USP24 <newline> Hsap\USP48 <newline> Hsap\USP9X <newline> Hsap\USP7 <newline> Hsap\USP34 <newline> Hsap\USP25 <newline> Hsap\USP40 <newline> Hsap\USP47 <newline> Hsap\USP9Y
FBgn0039555	Hsap\MRPS22
FBgn0039877	Hsap\MCCC1 <newline> Hsap\PCCA <newline> Hsap\PC
FBgn0039959	
FBgn0040028	Hsap\TEKT5 <newline> Hsap\TEKT3 <newline> Hsap\TEKT2 <newline> Hsap\TEKT4 <newline> Hsap\TEKT1
FBgn0040918	Hsap\CERS6 <newline> Hsap\CERS5 <newline> Hsap\CERS4 <newline> Hsap\CERS2 <newline> Hsap\CERS3 <newline> Hsap\CERS1
FBgn0043362	Hsap\WDFY3 <newline> Hsap\WDFY4 <newline> Hsap\LYST <newline> Hsap\WDR81 <newline> Hsap\NSMAF <newline> Hsap\NBEAL1 <newline> Hsap\NBEAL2 <newline> Hsap\MAB21L1
FBgn0046874	Hsap\ACAN
FBgn0050122	Hsap\HNRNPU <newline> Hsap\HNRNPUL2 <newline> Hsap\RNF123 <newline> Hsap\HNRNPUL1 <newline> Hsap\RSPRY1 <newline> Hsap\HNRNPUL2-BSCL2
FBgn0051872	Hsap\LIPF <newline> Hsap\LIPM <newline> Hsap\LIPA <newline> Hsap\LIPN <newline> Hsap\LIPJ <newline> Hsap\LIPK <newline> Hsap\EPHX3 <newline> Hsap\ABHD11 <newline> Hsap\MEST <newline> Hsap\ABHD8 <newline> Hsap\ABHD10 <newline> Hsap\ABHD14A <newline> Hsap\SERHL2 <newline> Hsap\EPHX4 <newline> Hsap\BPHL <newline> Hsap\PPME1 <newline> Hsap\ABHD5 <newline> Hsap\ABHD4 <newline> Hsap\ABHD14B <newline> Hsap\ABHD6 <newline> Hsap\EPHX2 <newline> Hsap\EPHX1 <newline> Hsap\HMGCR
FBgn0052392	Hsap\RSPH3
FBgn0052580	Hsap\NEFM <newline> Hsap\VWF <newline> Hsap\CRIM1 <newline> Hsap\BMPER <newline> Hsap\FRAS1 <newline> Hsap\VWCE <newline> Hsap\NDP <newline> Hsap\VIT <newline> Hsap\TECTA <newline> Hsap\COCH <newline> Hsap\OTOG <newline> Hsap\OTOGL <newline> Hsap\MUC6 <newline> Hsap\MUC5B <newline> Hsap\KCP <newline> Hsap\ZAN <newline> Hsap\FCGBP <newline> Hsap\MUC5AC <newline> Hsap\MUC16 <newline> Hsap\MUC2 <newline> Hsap\MUC17 <newline> Hsap\MUC4 <newline> Hsap\SSPO <newline> Hsap\MUC19
FBgn0053208	Hsap\MICAL2 <newline> Hsap\LIMD2 <newline> Hsap\CSRP2 <newline> Hsap\CRIP1 <newline> Hsap\MICAL1 <newline> Hsap\CSRP1 <newline> Hsap\CRIP3 <newline> Hsap\LIMA1 <newline> Hsap\MICAL3 <newline> Hsap\CRIP2 <newline> Hsap\CSRP3 <newline> Hsap\MICALL1 <newline> Hsap\MICALL2
