Tissue	FPKM.m	SD.m	Enrichment.m	FPKM.f	SD.f	Enrichment.f	M.F	p.value	FPKM.mf	SD.mf	Enrichment.mf
index.html?fbgn=FBgn0034406&tableOut=gene:25:Carcass	16.12	5.49	0.65	8.24	1.75	0.43	1.96	n.s.	10.27	0.29	0.2
index.html?fbgn=FBgn0034407&tableOut=gene:25:Carcass	20.34	18.38	0.06	222.53	129.09	2.26	0.09	n.s.	2	1.28	0.96
index.html?fbgn=FBgn0034408&tableOut=gene:25:Carcass	2.39	0.26	0.69	2.24	0.65	1.12	1.07	n.s.	3.34	0.03	1.67
index.html?fbgn=FBgn0034411&tableOut=gene:24:Carcass	0.35	0.24	0.17	0.04	0.02	-1	1	n.s.	0.05	0.02	-1
index.html?fbgn=FBgn0034413&tableOut=gene:24:Carcass	0.07	0.13	-1	0.06	0.05	-1	1	n.s.	0.1	0.09	-1
index.html?fbgn=FBgn0034415&tableOut=gene:24:Carcass	3.91	2.91	0.15	0.07	0.13	-1	1.96	n.s.	0	0	-1
index.html?fbgn=FBgn0034416&tableOut=gene:24:Carcass	4.71	3.16	0.11	0.03	0.04	-1	2.4	n.s.	0.05	0.05	0.01
index.html?fbgn=FBgn0034417&tableOut=gene:24:Carcass	6.82	1.17	0.35	3.61	0.88	1.62	1.89	p > 0.05	0.51	0.22	0.12
index.html?fbgn=FBgn0034418&tableOut=gene:24:Carcass	9.15	0.51	0.71	8.94	0.43	0.9	1.02	n.s.	6.83	0.55	0.46
index.html?fbgn=FBgn0034419&tableOut=gene:24:Carcass	11.74	0.72	0.56	10.82	1.92	1.32	1.09	n.s.	9	0.89	0.83
index.html?fbgn=FBgn0034420&tableOut=gene:24:Carcass	51.25	4.2	1.12	48.13	6.31	2.81	1.06	n.s.	33.87	3.11	4.38
index.html?fbgn=FBgn0034422&tableOut=gene:24:Carcass	1.31	0.44	0.41	2.74	0.43	0.42	0.73	p > 0.05	1.88	0.45	-1
index.html?fbgn=FBgn0034423&tableOut=gene:25:Carcass	1.24	1.18	0.2	0	0	-1	1	n.s.	0.02	0.03	-1
index.html?fbgn=FBgn0034425&tableOut=gene:24:Carcass	1.82	0.25	-1	2.56	0.45	0.64	0.78	n.s.	1.77	0.11	-1
index.html?fbgn=FBgn0034426&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034427&tableOut=gene:24:Carcass	0.01	0.02	-1	0	0	-1	1	n.s.	0.34	0.25	-1
index.html?fbgn=FBgn0034428&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	0.1	0.02	0
index.html?fbgn=FBgn0034429&tableOut=gene:25:Carcass	0.06	0.05	-1	0	0	-1	1	n.s.	0	0	0
index.html?fbgn=FBgn0034430&tableOut=gene:25:Carcass	6.74	0.7	0.93	5.47	1.52	0.77	1.23	n.s.	4.62	0.39	0.79
index.html?fbgn=FBgn0034432&tableOut=gene:24:Carcass	109.3	6.7	1.97	122.96	22.97	3.09	0.89	n.s.	35.63	2.62	0.81
index.html?fbgn=FBgn0034433&tableOut=gene:25:Carcass	5.07	0.99	0.78	4.06	0.65	0.63	1.25	n.s.	2.94	0.18	1.16
index.html?fbgn=FBgn0034435&tableOut=gene:25:Carcass	3.96	2.56	0.09	0.02	0.02	-1	1.98	n.s.	0.06	0.1	-1
index.html?fbgn=FBgn0034436&tableOut=gene:24:Carcass	7.36	1.2	0.57	9.22	2.45	0.7	0.8	n.s.	8.71	0.45	0.24
index.html?fbgn=FBgn0034437&tableOut=gene:24:Carcass	0.03	0.02	-1	0.13	0.08	-1	1	n.s.	0.03	0.04	0
index.html?fbgn=FBgn0034438&tableOut=gene:24:Carcass	12.61	1.99	0.99	6.23	0.4	1.95	2	p > 0.05	5.95	1.14	1.26
index.html?fbgn=FBgn0034439&tableOut=gene:24:Carcass	0.65	0.22	0.13	0.37	0.11	-1	1	n.s.	0.53	0.27	0.12
index.html?fbgn=FBgn0034440&tableOut=gene:24:Carcass	0.3	0.02	-1	0.55	0.6	-1	1	n.s.	0.26	0.07	0.06
index.html?fbgn=FBgn0034441&tableOut=gene:24:Carcass	0.01	0.01	-1	0.01	0.01	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034442&tableOut=gene:24:Carcass	2.18	0.53	1.09	1.91	0.46	0.88	1.09	n.s.	1.34	0.22	-1
index.html?fbgn=FBgn0034443&tableOut=gene:25:Carcass	34.65	18.83	0.98	27.29	5.52	0.99	1.27	n.s.	84.72	44.23	0.46
index.html?fbgn=FBgn0034446&tableOut=gene:25:Carcass	0.56	0.05	-1	0.27	0.11	-1	1	p > 0.05	0.16	0.03	-1
index.html?fbgn=FBgn0034447&tableOut=gene:24:Carcass	2	0.27	1	4.91	2.01	0.32	0.41	n.s.	4.02	0.2	1.36
index.html?fbgn=FBgn0034451&tableOut=gene:25:Carcass	7.98	0.65	1.02	7.66	1.33	0.62	1.04	n.s.	16.18	2.59	1.19
index.html?fbgn=FBgn0034452&tableOut=gene:25:Carcass	0.33	0.03	-1	0.42	0.15	-1	1	n.s.	0.45	0.07	-1
index.html?fbgn=FBgn0034454&tableOut=gene:24:Carcass	3.01	0.65	1.5	1.34	0.51	-1	1.5	p > 0.05	0.03	0.03	-1
index.html?fbgn=FBgn0034455&tableOut=gene:24:Carcass	4.78	0.96	0.67	6.93	0.71	0.61	0.69	p > 0.05	3.37	0.4	0.87
index.html?fbgn=FBgn0034456&tableOut=gene:25:Carcass	0	0	-1	0.05	0.02	-1	1	p > 0.05	0.06	0.07	-1
index.html?fbgn=FBgn0034457&tableOut=gene:25:Carcass	0	0	-1	0.04	0.04	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034458&tableOut=gene:25:Carcass	0	0	-1	0.02	0.02	-1	1	n.s.	0.01	0.02	-1
index.html?fbgn=FBgn0034459&tableOut=gene:25:Carcass	1.33	0.87	0.1	0.23	0.12	-1	1	n.s.	0.05	0.02	-1
index.html?fbgn=FBgn0034460&tableOut=gene:24:Carcass	4.01	1.5	0.61	1.9	0.37	0.93	2	n.s.	0.12	0.21	-1
index.html?fbgn=FBgn0034461&tableOut=gene:24:Carcass	2.86	2.98	0.13	0	0	-1	1.43	n.s.	0.11	0.1	-1
index.html?fbgn=FBgn0034462&tableOut=gene:24:Carcass	0.02	0.03	-1	0	0	-1	1	n.s.	1	0.64	0.26
index.html?fbgn=FBgn0034463&tableOut=gene:24:Carcass	0.59	0.39	0.07	0	0	-1	1	n.s.	0.1	0.11	-1
index.html?fbgn=FBgn0034464&tableOut=gene:24:Carcass	2.3	1.32	0.11	0	0	-1	1.15	n.s.	0	0	-1
index.html?fbgn=FBgn0034467&tableOut=gene:24:Carcass	2.97	2.15	0.11	0.01	0.02	-1	1.49	n.s.	0.01	0.02	-1
index.html?fbgn=FBgn0034468&tableOut=gene:25:Carcass	101.64	22.05	0.54	27.07	19.19	0.74	3.8	p > 0.05	80.71	37.44	3.36
index.html?fbgn=FBgn0034470&tableOut=gene:25:Carcass	180.22	13.87	0.38	94.42	57.85	0.75	1.91	n.s.	261.88	15.6	0.98
index.html?fbgn=FBgn0034471&tableOut=gene:25:Carcass	2.13	1.06	0.08	1.08	0.56	0.03	1.06	n.s.	14	8.49	3.65
index.html?fbgn=FBgn0034472&tableOut=gene:24:Carcass	8.71	4.86	0.07	0	0	-1	4.4	n.s.	0	0	0
index.html?fbgn=FBgn0034473&tableOut=gene:25:Carcass	0.03	0.05	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034474&tableOut=gene:25:Carcass	1421.3	351.24	0.93	0.91	0.6	0.07	711	p > 0.05	0	0	-1
index.html?fbgn=FBgn0034475&tableOut=gene:25:Carcass	0	0	-1	0	0	-1	1	n.s.	6.14	0.21	3.07
index.html?fbgn=FBgn0034476&tableOut=gene:25:Carcass	2.93	0.61	0.67	1.14	0.49	-1	1.47	p > 0.05	5.14	0.17	2.19
index.html?fbgn=FBgn0034477&tableOut=gene:24:Carcass	0.58	0.4	0.05	0.01	0.01	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034478&tableOut=gene:24:Carcass	1.49	1.17	0.08	0.03	0.05	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034479&tableOut=gene:24:Carcass	41.92	10.31	1.85	77.05	21.95	8.89	0.54	n.s.	1.14	0.15	0.29
index.html?fbgn=FBgn0034480&tableOut=gene:24:Carcass	10.4	1.85	0.94	16.37	15.85	5.31	0.64	n.s.	0.05	0.04	0.01
index.html?fbgn=FBgn0034481&tableOut=gene:24:Carcass	0.51	0.16	-1	0.17	0.16	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034483&tableOut=gene:24:Carcass	2.21	1.54	0.08	0	0	-1	1.1	n.s.	0	0	-1
index.html?fbgn=FBgn0034484&tableOut=gene:24:Carcass	6.65	1.46	1.73	5.28	0.86	2.64	1.26	n.s.	3.86	0.82	1.93
index.html?fbgn=FBgn0034485&tableOut=gene:24:Carcass	4.24	0.73	1.09	3.3	0.68	1.65	1.28	n.s.	0.38	0.06	-1
index.html?fbgn=FBgn0034486&tableOut=gene:24:Carcass	1.95	0.46	0.79	1.34	0.24	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034487&tableOut=gene:25:Carcass	0.18	0.04	-1	0.06	0.03	-1	1	p > 0.05	0.04	0.01	-1
index.html?fbgn=FBgn0034488&tableOut=gene:25:Carcass	11.26	0.82	1.02	12.84	1.3	0.66	0.88	n.s.	9.05	0.89	0.22
index.html?fbgn=FBgn0034489&tableOut=gene:25:Carcass	0.05	0.03	-1	0.01	0.02	-1	1	n.s.	0.22	0.05	-1
index.html?fbgn=FBgn0034490&tableOut=gene:24:Carcass	2.91	1.24	0.32	10.47	2.31	0.71	0.28	p > 0.05	4.22	3.12	0.45
index.html?fbgn=FBgn0034491&tableOut=gene:25:Carcass	6.85	0.61	0.77	7.52	0.59	0.7	0.91	n.s.	4.56	0.16	1.58
index.html?fbgn=FBgn0034493&tableOut=gene:24:Carcass	0.5	0.14	-1	0.99	0.31	-1	1	n.s.	0.1	0.01	-1
index.html?fbgn=FBgn0034494&tableOut=gene:24:Carcass	15.61	1.65	1.75	14.78	1.72	1.53	1.06	n.s.	8.86	4.7	0.83
index.html?fbgn=FBgn0034495&tableOut=gene:24:Carcass	0.56	0.11	-1	0.77	0.26	0.36	1	n.s.	1.01	0.1	-1
index.html?fbgn=FBgn0034497&tableOut=gene:25:Carcass	290.02	14.46	2.03	210.91	37.42	5.37	1.38	n.s.	130.61	15.65	13.97
index.html?fbgn=FBgn0034498&tableOut=gene:24:Carcass	1.4	0.31	-1	1.78	0.16	0.28	1	n.s.	2.18	0.28	1.09
index.html?fbgn=FBgn0034499&tableOut=gene:25:Carcass	0.18	0.12	-1	0.09	0.08	-1	1	n.s.	7.61	1.28	3.81
index.html?fbgn=FBgn0034500&tableOut=gene:25:Carcass	15.47	0.11	1.15	16.66	3.93	1.84	0.93	n.s.	2.11	0.34	0.72
index.html?fbgn=FBgn0034501&tableOut=gene:24:Carcass	117.54	12.53	1.69	102.56	21.05	4.38	1.15	n.s.	1.68	0.46	0.13
index.html?fbgn=FBgn0034502&tableOut=gene:24:Carcass	0.41	0.17	0.14	0.01	0.01	-1	1	n.s.	0.01	0.02	-1
index.html?fbgn=FBgn0034503&tableOut=gene:25:Carcass	6.78	0.48	1.38	7.81	1.25	1.01	0.87	n.s.	5.97	0.49	0.91
index.html?fbgn=FBgn0034504&tableOut=gene:24:Carcass	5.83	0.71	0.73	6.75	0.73	0.78	0.86	n.s.	6.24	0.54	1.07
index.html?fbgn=FBgn0034505&tableOut=gene:24:Carcass	2.72	1.23	0.05	0.05	0.04	-1	1.36	n.s.	0.03	0.06	-1
index.html?fbgn=FBgn0034506&tableOut=gene:24:Carcass	0.6	0.43	0.1	0	0	-1	1	n.s.	0.01	0.01	-1
index.html?fbgn=FBgn0034507&tableOut=gene:24:Carcass	0.02	0.04	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034509&tableOut=gene:25:Carcass	329.2	53.28	1.65	215.39	63.22	3.75	1.53	n.s.	0	0	-1
index.html?fbgn=FBgn0034510&tableOut=gene:24:Carcass	0.57	0.35	0.13	0.12	0.21	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034511&tableOut=gene:25:Carcass	139.72	10.29	1.33	54.48	9.17	1.39	2.6	p > 0.01	0.09	0.08	-1
index.html?fbgn=FBgn0034512&tableOut=gene:25:Carcass	785.44	197.61	1.27	843.42	282.06	2.79	0.93	n.s.	10.23	1.19	0.21
index.html?fbgn=FBgn0034513&tableOut=gene:24:Carcass	0.34	0.27	-1	0.34	0.23	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034514&tableOut=gene:24:Carcass	0.11	0.1	-1	0.17	0.16	0.02	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034515&tableOut=gene:24:Carcass	57.64	14.17	0.44	30.22	7.54	1.18	1.91	n.s.	0.11	0.1	-1
index.html?fbgn=FBgn0034517&tableOut=gene:25:Carcass	13.11	3.88	1.09	13.26	4.15	2.67	0.99	n.s.	89.78	13.42	1.35
index.html?fbgn=FBgn0034518&tableOut=gene:24:Carcass	0	0	-1	0.01	0.02	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034519&tableOut=gene:25:Carcass	1.19	0.26	-1	1.19	0.13	-1	1	n.s.	1.58	0.15	-1
index.html?fbgn=FBgn0034520&tableOut=gene:25:Carcass	0.32	0.26	-1	0.39	0.12	-1	1	n.s.	0.3	0.08	-1
index.html?fbgn=FBgn0034521&tableOut=gene:25:Carcass	5.05	1.41	0.52	4.71	0.44	0.87	1.07	n.s.	3.19	0.43	1.07
index.html?fbgn=FBgn0034523&tableOut=gene:25:Carcass	1	0.39	0.46	1.14	0.44	0.46	1	n.s.	6.42	1.16	1.16
index.html?fbgn=FBgn0034527&tableOut=gene:24:Carcass	6.05	0.24	1.09	5.06	0.43	0.77	1.2	p > 0.05	3.69	0.38	0.74
index.html?fbgn=FBgn0034528&tableOut=gene:24:Carcass	2.56	0.44	1.28	5.36	1.21	0.79	0.48	p > 0.05	1.89	0.47	0.83
index.html?fbgn=FBgn0034529&tableOut=gene:25:Carcass	1.22	0.17	-1	1.61	0.16	0.55	1	p > 0.05	1.31	0.08	-1
index.html?fbgn=FBgn0034530&tableOut=gene:25:Carcass	0.81	0.33	-1	0.66	0.13	-1	1	n.s.	2.49	0.18	1.25
index.html?fbgn=FBgn0034532&tableOut=gene:24:Carcass	0.86	0.55	0.09	0.26	0.04	-1	1	n.s.	0.36	0.07	-1
index.html?fbgn=FBgn0034534&tableOut=gene:25:Carcass	33.07	7.97	1.1	28.06	6.97	1.27	1.18	n.s.	8.67	1.29	0.34
index.html?fbgn=FBgn0034535&tableOut=gene:24:Carcass	11.38	0.66	0.88	8.22	0.64	0.76	1.38	p > 0.01	2.27	0.84	0.56
index.html?fbgn=FBgn0034537&tableOut=gene:25:Carcass	2.83	0.3	1.26	3.78	0.34	0.79	0.75	p > 0.05	2.66	0.25	1.24
index.html?fbgn=FBgn0034538&tableOut=gene:24:Carcass	64.92	7.89	2.51	66.53	15.36	5.87	0.98	n.s.	8.39	1.68	0.2
index.html?fbgn=FBgn0034539&tableOut=gene:24:Carcass	0.13	0.13	-1	0.21	0.11	-1	1	n.s.	0.04	0.06	-1
index.html?fbgn=FBgn0034540&tableOut=gene:25:Carcass	1.47	0.22	-1	1.72	0.5	-1	1	n.s.	3.48	0.48	1.6
index.html?fbgn=FBgn0034541&tableOut=gene:24:Carcass	0.77	0.37	-1	0.77	0.07	-1	1	n.s.	0.24	0.05	-1
index.html?fbgn=FBgn0034542&tableOut=gene:25:Carcass	20.9	1.31	1.39	21.79	3.82	1.84	0.96	n.s.	13.39	3.58	0.95
index.html?fbgn=FBgn0034543&tableOut=gene:25:Carcass	35.32	1.38	1.67	33.04	0.21	2.71	1.07	n.s.	9.98	0.95	0.27
index.html?fbgn=FBgn0034545&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0.13	0.04	-1
index.html?fbgn=FBgn0034546&tableOut=gene:24:Carcass	1.38	0.84	0.08	0.02	0.02	-1	1	n.s.	0.02	0.04	-1
index.html?fbgn=FBgn0034548&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0.03	0.03	-1
index.html?fbgn=FBgn0034551&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0.38	0.18	-1
index.html?fbgn=FBgn0034552&tableOut=gene:24:Carcass	0.52	0.58	0.22	0.49	0.3	-1	1	n.s.	1.21	0.42	-1
index.html?fbgn=FBgn0034553&tableOut=gene:24:Carcass	1.61	1.15	0.2	0.92	0.29	0.4	1	n.s.	5.65	1.76	2.83
index.html?fbgn=FBgn0034554&tableOut=gene:25:Carcass	0.64	0.58	0.17	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034558&tableOut=gene:25:Carcass	0.17	0.17	-1	0.08	0.09	-1	1	n.s.	0.36	0.27	-1
index.html?fbgn=FBgn0034560&tableOut=gene:25:Carcass	0.98	0.6	0.12	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034563&tableOut=gene:24:Carcass	16.86	1.4	1	0.43	0.27	-1	8.4	p > 0.01	0.19	0.07	-1
index.html?fbgn=FBgn0034564&tableOut=gene:24:Carcass	8.59	1.84	0.75	8.52	2.89	0.38	1.01	n.s.	21.03	2.44	0.92
index.html?fbgn=FBgn0034565&tableOut=gene:24:Carcass	0.15	0.03	-1	0.2	0.15	-1	1	n.s.	0.03	0.06	-1
index.html?fbgn=FBgn0034566&tableOut=gene:24:Carcass	0.84	0.44	0.1	0.05	0.02	-1	1	n.s.	0.04	0.04	-1
index.html?fbgn=FBgn0034567&tableOut=gene:24:Carcass	0.83	0.27	0.4	0.42	0.24	-1	1	n.s.	0.09	0.06	-1
index.html?fbgn=FBgn0034568&tableOut=gene:24:Carcass	0.02	0.02	-1	0.03	0.02	-1	1	n.s.	0.03	0.03	-1
index.html?fbgn=FBgn0034569&tableOut=gene:25:Carcass	0.7	0.17	-1	0.81	0.57	0.24	1	n.s.	1.76	0.19	-1
index.html?fbgn=FBgn0034570&tableOut=gene:24:Carcass	3.63	0.45	0.78	4.09	0.48	0.8	0.89	n.s.	1.42	0.07	-1
index.html?fbgn=FBgn0034572&tableOut=gene:24:Carcass	2.15	0.23	0.88	2.56	0.22	0.76	0.84	n.s.	2.1	0.29	0.82
index.html?fbgn=FBgn0034573&tableOut=gene:25:Carcass	15.2	2.14	1.42	15.53	2.83	1.81	0.98	n.s.	7.77	2.07	0.3
index.html?fbgn=FBgn0034576&tableOut=gene:25:Carcass	215.99	31.64	1.46	166.4	12.55	2.32	1.3	n.s.	102.08	9.02	2.04
index.html?fbgn=FBgn0034577&tableOut=gene:25:Carcass	10.57	0.71	1.04	12.1	1.66	0.79	0.87	n.s.	19.08	2.35	0.71
index.html?fbgn=FBgn0034578&tableOut=gene:24:Carcass	4.07	0.99	1.09	2.5	0.92	0.55	1.63	n.s.	3.01	0.69	0.98
index.html?fbgn=FBgn0034579&tableOut=gene:25:Carcass	7.57	0.86	1.14	7.26	0.43	0.45	1.04	n.s.	8.93	1.75	1.97
index.html?fbgn=FBgn0034580&tableOut=gene:25:Carcass	3.25	3.64	0.53	8.22	4.01	2.04	0.4	n.s.	0.03	0.03	-1
index.html?fbgn=FBgn0034582&tableOut=gene:25:Carcass	0.83	0.79	-1	0.8	0.37	-1	1	n.s.	0	0	0
index.html?fbgn=FBgn0034583&tableOut=gene:24:Carcass	40.8	2.84	1.5	34.61	9.11	2.23	1.18	n.s.	113.76	6.31	1.86
index.html?fbgn=FBgn0034585&tableOut=gene:25:Carcass	7.47	0.25	1.27	7.16	0.7	1.19	1.04	n.s.	2.44	0.07	0.75
index.html?fbgn=FBgn0034588&tableOut=gene:24:Carcass	6.82	0.8	0.43	5.68	1.31	0.69	1.2	n.s.	0.06	0.09	0.01
index.html?fbgn=FBgn0034590&tableOut=gene:25:Carcass	2.15	0.15	0.95	2.61	0.09	0.55	0.82	p > 0.05	3.97	0.1	1.88
index.html?fbgn=FBgn0034592&tableOut=gene:24:Carcass	1.35	1.54	0.06	0	0	-1	1	n.s.	0.05	0.09	-1
index.html?fbgn=FBgn0034595&tableOut=gene:24:Carcass	3.59	2.29	0.06	1.36	0.34	-1	1.79	n.s.	0.92	0.25	0.29
index.html?fbgn=FBgn0034598&tableOut=gene:24:Carcass	4.25	0.83	1	5.45	0.06	0.73	0.78	n.s.	4.25	0.24	1.04
index.html?fbgn=FBgn0034599&tableOut=gene:25:Carcass	4.3	0.09	1.14	3.24	0.51	0.82	1.33	n.s.	1.95	0.36	0.75
index.html?fbgn=FBgn0034601&tableOut=gene:24:Carcass	2.08	2.14	0.07	0.03	0.03	-1	1.04	n.s.	0.06	0.06	-1
index.html?fbgn=FBgn0034602&tableOut=gene:25:Carcass	8.08	0.92	1.19	6.7	1.53	2.05	1.21	n.s.	1.03	0.38	0.15
index.html?fbgn=FBgn0034605&tableOut=gene:25:Carcass	8.39	0.5	1.03	15.49	4.02	4.83	0.54	n.s.	0.44	0.19	-1
index.html?fbgn=FBgn0034606&tableOut=gene:25:Carcass	2.47	0.32	0.75	2.54	0.44	1.27	0.97	n.s.	2.32	0.48	1.16
index.html?fbgn=FBgn0034611&tableOut=gene:25:Carcass	8.79	0.63	0.95	12.65	0.5	0.95	0.69	p > 0.01	11.23	1.82	0.73
index.html?fbgn=FBgn0034612&tableOut=gene:24:Carcass	1.09	0.51	0.55	1.05	0.24	-1	1	n.s.	0.44	0.02	0.04
index.html?fbgn=FBgn0034614&tableOut=gene:24:Carcass	0.41	0.09	-1	2.66	1.61	0.21	0.75	n.s.	8.49	0.71	1.32
index.html?fbgn=FBgn0034617&tableOut=gene:25:Carcass	2.29	0.24	1.15	2.17	0.43	0.53	1.06	n.s.	2.65	0.22	1.02
index.html?fbgn=FBgn0034618&tableOut=gene:24:Carcass	64.74	2.75	2.34	29.77	4.2	2.74	2.2	p > 0.01	14.41	1.81	2.65
index.html?fbgn=FBgn0034622&tableOut=gene:25:Carcass	0.1	0.07	-1	0.16	0.06	-1	1	n.s.	0.05	0.01	-1
index.html?fbgn=FBgn0034623&tableOut=gene:24:Carcass	0.68	0.33	-1	0.37	0.13	-1	1	n.s.	0.13	0.12	0.02
index.html?fbgn=FBgn0034624&tableOut=gene:24:Carcass	0.88	0.33	-1	0.46	0.43	-1	1	n.s.	27	7.47	13.5
index.html?fbgn=FBgn0034626&tableOut=gene:24:Carcass	3.56	0.27	1.42	4.2	0.96	0.87	0.85	n.s.	2.12	0.39	0.78
index.html?fbgn=FBgn0034627&tableOut=gene:25:Carcass	1.15	0.48	-1	1.24	0.32	-1	1	n.s.	1.54	0.36	0.64
index.html?fbgn=FBgn0034628&tableOut=gene:25:Carcass	12.44	1.73	1	9.39	1.5	0.9	1.32	n.s.	2.08	0.27	0.16
index.html?fbgn=FBgn0034629&tableOut=gene:25:Carcass	3.84	0.85	1.09	12.57	1.47	1.45	0.31	p > 0.01	1.26	0.39	0.13
index.html?fbgn=FBgn0034631&tableOut=gene:25:Carcass	2.6	0.49	0.98	3	0.48	0.95	0.87	n.s.	2.6	0.18	1.01
index.html?fbgn=FBgn0034634&tableOut=gene:24:Carcass	2.09	0.25	0.66	2.2	0.69	0.43	0.95	n.s.	0.68	0.12	-1
index.html?fbgn=FBgn0034636&tableOut=gene:25:Carcass	0.42	0.24	-1	0.45	0.21	-1	1	n.s.	2.53	0.34	0.95
index.html?fbgn=FBgn0034638&tableOut=gene:24:Carcass	366.06	53.47	2.41	352.42	108.55	6.87	1.04	n.s.	29.7	3.58	1.32
index.html?fbgn=FBgn0034639&tableOut=gene:24:Carcass	3.61	0.89	1.06	3.69	1.33	1.84	0.98	n.s.	1.56	0.38	0.39
index.html?fbgn=FBgn0034641&tableOut=gene:25:Carcass	3.14	0.61	0.98	6.5	0.96	0.63	0.48	p > 0.05	3.59	0.09	1.25
index.html?fbgn=FBgn0034642&tableOut=gene:24:Carcass	0.82	0.29	0.23	0.76	0.5	0.27	1	n.s.	0.29	0.22	0.08
index.html?fbgn=FBgn0034643&tableOut=gene:24:Carcass	5.37	0.5	1.19	6.22	0.37	0.86	0.86	n.s.	4.03	0.17	1.02
index.html?fbgn=FBgn0034644&tableOut=gene:24:Carcass	11.91	1.81	1.03	11.6	2.53	1.86	1.03	n.s.	3.3	0.61	0.54
index.html?fbgn=FBgn0034645&tableOut=gene:25:Carcass	282.61	45.85	0.93	198.89	18.73	1.34	1.42	n.s.	110.68	7.15	1.63
index.html?fbgn=FBgn0034646&tableOut=gene:25:Carcass	5.68	0.27	1.19	6.75	1.42	0.73	0.84	n.s.	5.99	0.14	1.02
index.html?fbgn=FBgn0034647&tableOut=gene:25:Carcass	3.47	1.49	0.95	4.16	2.95	1.69	0.83	n.s.	0.36	0.17	0.04
index.html?fbgn=FBgn0034650&tableOut=gene:25:Carcass	3.7	0.37	1.17	4.45	1.13	0.5	0.83	n.s.	2.18	0.43	0.62
index.html?fbgn=FBgn0034651&tableOut=gene:24:Carcass	0.86	0.59	0.07	0.05	0.05	-1	1	n.s.	0.05	0.09	-1
index.html?fbgn=FBgn0034654&tableOut=gene:25:Carcass	44.16	4.21	0.92	62.54	4.86	1.02	0.71	p > 0.01	44.84	3.96	0.82
index.html?fbgn=FBgn0034655&tableOut=gene:24:Carcass	12.54	1.03	0.64	11.12	2.03	5.56	1.13	n.s.	0.4	0.06	-1
index.html?fbgn=FBgn0034657&tableOut=gene:25:Carcass	1.41	0.52	-1	2.73	0.87	0.18	0.73	n.s.	4.76	0.28	1.25
index.html?fbgn=FBgn0034658&tableOut=gene:25:Carcass	2.05	2.04	0.04	0	0	-1	1.02	n.s.	0	0	-1
index.html?fbgn=FBgn0034659&tableOut=gene:24:Carcass	2.86	1.91	0.22	0	0	-1	1.43	n.s.	0.04	0.07	0.01
index.html?fbgn=FBgn0034660&tableOut=gene:25:Carcass	0.45	0.26	0.16	0.4	0.24	-1	1	n.s.	0.2	0.11	-1
index.html?fbgn=FBgn0034661&tableOut=gene:25:Carcass	0.01	0.02	-1	0.05	0.04	-1	1	n.s.	1.34	0.17	-1
index.html?fbgn=FBgn0034662&tableOut=gene:24:Carcass	3.35	1.32	0.12	1.61	1.02	0.11	1.68	n.s.	0.05	0.05	0
index.html?fbgn=FBgn0034663&tableOut=gene:24:Carcass	49.76	8.48	0.27	9.16	3.63	0.3	5.4	p > 0.01	0.09	0.08	0
index.html?fbgn=FBgn0034664&tableOut=gene:24:Carcass	17.14	0.84	0.13	4.23	2.13	0.21	4.1	p > 0.01	0	0	0
index.html?fbgn=FBgn0034665&tableOut=gene:24:Carcass	0	0	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034666&tableOut=gene:24:Carcass	0.01	0.02	-1	0	0	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034667&tableOut=gene:25:Carcass	0.08	0.11	-1	0.01	0.01	-1	1	n.s.	0	0	-1
index.html?fbgn=FBgn0034670&tableOut=gene:24:Carcass	0.59	0.4	-1	0.7	0.23	-1	1	n.s.	0.07	0.06	-1
index.html?fbgn=FBgn0034671&tableOut=gene:24:Carcass	1.07	0.98	0.12	0	0	-1	1	n.s.	0.16	0.14	-1
index.html?fbgn=FBgn0034674&tableOut=gene:24:Carcass	8.24	1.41	1.3	9.07	0.67	1.17	0.91	n.s.	6.7	0.18	0.71
index.html?fbgn=FBgn0034681&tableOut=gene:24:Carcass	0.3	0.27	0.08	0.04	0.07	-1	1	n.s.	0	0	-1
